wmic.exe,"lolbas,lolbas_ads,lolbas_execute"
workfolders.exe,"lolbas,lolbas_execute"
wscript.exe,"lolbas,lolbas_ads"
wsreset.exe,"lolbas,lolbas_uac bypass"
wt.exe,"lolbas,lolbas_execute"
wuauclt.exe,"lolbas,lolbas_execute"
xwizard.exe,"lolbas,lolbas_download,lolbas_execute"
acccheckconsole.exe,"lolbas,lolbas_awl bypass,lolbas_execute"
adplus.exe,"lolbas,lolbas_dump,lolbas_execute"
agentexecutor.exe,"lolbas,lolbas_execute"
appvlp.exe,"lolbas,lolbas_execute"
bginfo.exe,"lolbas,lolbas_awl bypass,lolbas_execute"
cdb.exe,"lolbas,lolbas_execute"
coregen.exe,"lolbas,lolbas_awl bypass,lolbas_execute"
createdump.exe,"lolbas,lolbas_dump"
csi.exe,"lolbas,lolbas_execute"
defaultpack.exe,"lolbas,lolbas_execute"
devtoolslauncher.exe,"lolbas,lolbas_execute"
dnx.exe,"lolbas,lolbas_execute"
dotnet.exe,"lolbas,lolbas_awl bypass,lolbas_execute"
dump64.exe,"lolbas,lolbas_dump"
dxcap.exe,"lolbas,lolbas_execute"
excel.exe,"lolbas,lolbas_download"
fsi.exe,"lolbas,lolbas_awl bypass"
fsianycpu.exe,"lolbas,lolbas_awl bypass"
mftrace.exe,"lolbas,lolbas_execute"
msdeploy.exe,"lolbas,lolbas_awl bypass,lolbas_execute"
msohtmed.exe,"lolbas,lolbas_download"
mspub.exe,"lolbas,lolbas_download"
msxsl.exe,"lolbas,lolbas_awl bypass,lolbas_execute"
ntdsutil.exe,"lolbas,lolbas_dump"
openconsole.exe,"lolbas,lolbas_execute"
powerpnt.exe,"lolbas,lolbas_download"
procdump.exe,"lolbas,lolbas_execute"
protocolhandler.exe,"lolbas,lolbas_download"
rcsi.exe,"lolbas,lolbas_awl bypass,lolbas_execute"
remote.exe,"lolbas,lolbas_awl bypass,lolbas_execute"
sqldumper.exe,"lolbas,lolbas_dump"
sqlps.exe,"lolbas,lolbas_execute"
sqltoolsps.exe,"lolbas,lolbas_execute"
squirrel.exe,"lolbas_execute,lolbas,lolbas_awl bypass,lolbas_download"
te.exe,"lolbas,lolbas_execute"
tracker.exe,"lolbas,lolbas_awl bypass,lolbas_execute"
update.exe,"lolbas_execute,lolbas,lolbas_awl bypass,lolbas_download"
visualuiaverifynative.exe,"lolbas,lolbas_awl bypass"
vsiisexelauncher.exe,"lolbas,lolbas_execute"
vsjitdebugger.exe,"lolbas,lolbas_execute"
wfc.exe,"lolbas,lolbas_awl bypass"
winword.exe,"lolbas,lolbas_download"
wsl.exe,"lolbas,lolbas_download,lolbas_execute"
